in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
fp8,fp32,fp8,,0,k,k,n,128,64,64,64,2,1,4096,7168,128000,10095.001220703125
fp8,fp32,fp8,,0,k,k,n,128,64,64,64,2,2,4096,7168,128000,5797.055816650391
fp8,fp32,fp8,,0,k,k,n,128,128,64,128,2,1,4096,7168,128000,5914.6240234375
fp8,fp32,fp8,,0,k,k,n,128,128,64,128,2,2,4096,7168,128000,3912.499237060547
fp8,fp32,fp8,,0,k,k,n,128,192,64,192,2,1,4096,7168,128000,4231.167984008789
fp8,fp32,fp8,,0,k,k,n,128,192,64,192,2,2,4096,7168,128000,3395.993423461914
fp8,fp32,fp8,,0,k,k,n,128,256,64,256,2,1,4096,7168,128000,3564.339065551758
fp8,fp32,fp8,,0,k,k,n,128,256,64,256,2,2,4096,7168,128000,2921.881675720215
fp8,fp32,fp8,,0,k,k,n,256,64,128,64,2,1,4096,7168,128000,7378.943634033203
fp8,fp32,fp8,,0,k,k,n,256,64,128,64,2,2,4096,7168,128000,4604.108810424805
fp8,fp32,fp8,,0,k,k,n,256,128,128,128,2,1,4096,7168,128000,4425.31852722168
fp8,fp32,fp8,,0,k,k,n,256,128,128,128,2,2,4096,7168,128000,2790.8096313476562
fp8,fp32,fp8,,0,k,k,n,256,192,128,192,2,1,4096,7168,128000,2687.99991607666
fp8,fp32,fp8,,0,k,k,n,256,192,128,192,2,2,4096,7168,128000,2970.419120788574
fp8,fp32,fp8,,0,k,k,n,256,256,128,256,2,1,4096,7168,128000,2796.563148498535
fp8,fp32,fp8,,0,k,k,n,256,256,128,256,2,2,4096,7168,128000,2757.638359069824
fp8,fp32,fp8,,0,k,k,n,128,64,64,64,2,1,4096,128000,7168,6072.934341430664
fp8,fp32,fp8,,0,k,k,n,128,64,64,64,2,2,4096,128000,7168,5642.035293579102
fp8,fp32,fp8,,0,k,k,n,128,128,64,128,2,1,4096,128000,7168,4067.3278808593755
fp8,fp32,fp8,,0,k,k,n,128,128,64,128,2,2,4096,128000,7168,3634.9952697753906
fp8,fp32,fp8,,0,k,k,n,128,192,64,192,2,1,4096,128000,7168,3038.412857055664
fp8,fp32,fp8,,0,k,k,n,128,192,64,192,2,2,4096,128000,7168,3207.3726654052734
fp8,fp32,fp8,,0,k,k,n,128,256,64,256,2,1,4096,128000,7168,2623.4880447387695
fp8,fp32,fp8,,0,k,k,n,128,256,64,256,2,2,4096,128000,7168,2828.4927368164062
fp8,fp32,fp8,,0,k,k,n,256,64,128,64,2,1,4096,128000,7168,5220.147323608398
fp8,fp32,fp8,,0,k,k,n,256,64,128,64,2,2,4096,128000,7168,4246.323013305664
fp8,fp32,fp8,,0,k,k,n,256,128,128,128,2,1,4096,128000,7168,3080.191993713379
fp8,fp32,fp8,,0,k,k,n,256,128,128,128,2,2,4096,128000,7168,2683.9040756225586
fp8,fp32,fp8,,0,k,k,n,256,192,128,192,2,1,4096,128000,7168,2399.0272521972656
fp8,fp32,fp8,,0,k,k,n,256,192,128,192,2,2,4096,128000,7168,2679.814338684082
fp8,fp32,fp8,,0,k,k,n,256,256,128,256,2,1,4096,128000,7168,2404.3519973754883
fp8,fp32,fp8,,0,k,k,n,256,256,128,256,2,2,4096,128000,7168,2690.457534790039
fp8,fp32,fp8,,0,k,k,n,128,64,64,64,2,1,128000,7168,4096,8427.519989013672
fp8,fp32,fp8,,0,k,k,n,128,64,64,64,2,2,128000,7168,4096,6091.3665771484375
fp8,fp32,fp8,,0,k,k,n,128,128,64,128,2,1,128000,7168,4096,4516.454315185547
fp8,fp32,fp8,,0,k,k,n,128,128,64,128,2,2,128000,7168,4096,3847.9873657226562
fp8,fp32,fp8,,0,k,k,n,128,192,64,192,2,1,128000,7168,4096,3459.904098510742
fp8,fp32,fp8,,0,k,k,n,128,192,64,192,2,2,128000,7168,4096,3350.9376525878906
fp8,fp32,fp8,,0,k,k,n,128,256,64,256,2,1,128000,7168,4096,2924.3392944335938
fp8,fp32,fp8,,0,k,k,n,128,256,64,256,2,2,128000,7168,4096,3024.4863510131836
fp8,fp32,fp8,,0,k,k,n,256,64,128,64,2,1,128000,7168,4096,8110.899353027344
fp8,fp32,fp8,,0,k,k,n,256,64,128,64,2,2,128000,7168,4096,5421.260833740234
fp8,fp32,fp8,,0,k,k,n,256,128,128,128,2,1,128000,7168,4096,4378.214263916016
fp8,fp32,fp8,,0,k,k,n,256,128,128,128,2,2,128000,7168,4096,3078.553581237793
fp8,fp32,fp8,,0,k,k,n,256,192,128,192,2,1,128000,7168,4096,3241.779327392578
