in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,512,7168,37.27999925613403
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,512,7168,37.27999925613403
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,512,7168,48.127999901771545
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,512,7168,47.7183997631073
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,512,7168,37.273600697517395
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,512,7168,37.47200071811676
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,512,7168,49.215999245643616
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,512,7168,49.15199875831604
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,512,7168,59.39199924468994
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,512,7168,57.8112006187439
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,7168,512,72.08960056304932
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,7168,512,79.04639840126038
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,7168,512,48.339200019836426
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,7168,512,49.23520088195801
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,7168,512,45.05600035190582
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,7168,512,45.67039906978607
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,7168,512,43.07839870452881
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,7168,512,43.41759979724884
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,7168,512,53.248000144958496
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,7168,512,55.28320074081421
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,7168,512,41.58720076084137
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,7168,512,41.42720103263855
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,7168,512,39.38559889793396
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,7168,512,39.32160139083862
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,7168,512,38.91200125217438
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,7168,512,38.91200125217438
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,7168,512,4096,62.23999857902527
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,7168,512,4096,60.00000238418579
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,7168,512,4096,46.48959934711456
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,7168,512,4096,45.45919895172119
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,7168,512,4096,45.875200629234314
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,7168,512,4096,57.13279843330383
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,7168,512,4096,40.95999896526337
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,7168,512,4096,40.97279906272888
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,7168,512,4096,58.36799740791321
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,7168,512,4096,55.295997858047485
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,7168,512,4096,41.785600781440735
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,7168,512,4096,41.37600064277649
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,7168,512,4096,53.248000144958496
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,7168,512,4096,54.476797580718994
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,7168,512,4096,41.363200545310974
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,7168,512,4096,41.574400663375854
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,1536,7168,146.63679599761963
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,1536,7168,152.37760543823242
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,1536,7168,102.80319452285767
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,1536,7168,99.94239807128906
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,1536,7168,92.57599711418152
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,1536,7168,92.97279715538025
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,1536,7168,91.33440256118774
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,1536,7168,91.75040125846863
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,1536,7168,125.7472038269043
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,1536,7168,119.20640468597412
