in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,128000,7168,4096,4271.718215942383
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,128000,7168,4096,3188.7359619140625
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,128000,7168,4096,2851.0208129882812
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,128000,7168,4096,2536.6527557373047
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,128000,7168,4096,2487.500762939453
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,128000,7168,4096,2208.768081665039
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,128000,7168,4096,2297.2415924072266
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,512,7168,24.57599937915802
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,512,7168,25.190401077270508
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,512,7168,23.756800591945648
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,512,7168,23.340800404548645
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,512,7168,23.96160066127777
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,512,7168,24.36479926109314
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,512,7168,25.177600979804993
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,512,7168,25.804799795150757
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,7168,512,39.32160139083862
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,7168,512,41.36959910392761
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,7168,512,35.43680012226105
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,7168,512,37.887999415397644
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,7168,512,35.42400002479553
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,7168,512,39.32160139083862
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,7168,512,39.32160139083862
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,7168,512,41.58079922199249
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,7168,512,4096,28.467199206352234
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,7168,512,4096,29.683199524879456
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,7168,512,4096,24.377599358558655
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,7168,512,4096,25.196799635887146
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,7168,512,4096,25.190401077270508
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,7168,512,4096,26.82879865169525
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,7168,512,4096,25.811201333999634
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,7168,512,4096,25.79199969768524
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,1536,7168,54.88640069961548
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,1536,7168,56.11519813537598
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,1536,7168,39.12320137023926
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,1536,7168,39.41760063171387
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,1536,7168,36.742401123046875
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,1536,7168,37.145599722862244
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,1536,7168,42.073601484298706
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,1536,7168,42.08639860153198
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,7168,1536,67.57760047912598
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,7168,1536,68.60160231590271
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,7168,1536,53.862398862838745
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,7168,1536,55.289602279663086
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,7168,1536,51.40479803085327
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,7168,1536,53.45280170440674
